specObjID,z,zErr,spectroSkyFlux_u,spectroSkyFlux_g,spectroSkyFlux_r,spectroSkyFlux_i,spectroSkyFlux_z
306347061807179776,0.07387309,1.945155E-05,9.991819,16.33865,34.12217,55.82136,105.9711
306347336685086720,1.616582,0.0002455605,10.64414,16.87746,33.72887,55.63034,110.2269
306347611562993664,3.765321,0.001931056,10.17987,16.74802,33.78059,56.30914,107.6901
306347886440900608,0.1495392,3.580632E-05,10.61241,16.55377,35.80262,55.22949,105.7613
306348161318807552,0.139486,1.321215E-05,10.38635,16.6157,33.65348,52.52301,106.2715
306348436196714496,0.09659231,2.774512E-05,10.09612,16.49166,33.67982,56.05021,101.5275
306348711074621440,0.09379627,7.007003E-06,10.13553,16.30169,32.97536,54.96067,104.3337
306348985952528384,0.1286689,4.355195E-05,10.38263,16.64254,33.66322,56.0876,106.4564
306349260830435328,0.07364321,1.68169E-05,10.36887,16.56366,33.55592,55.73182,106.0561
306349535708342272,0.09624433,8.255289E-06,10.3396,16.43554,33.45979,55.66698,105.9999
306350085464156160,0.09707364,2.566306E-05,10.11076,16.555,34.01958,56.54567,107.5948
306350360342063104,0.09815188,2.34181E-05,10.2571,16.37179,33.70102,55.14779,105.669
306350635219970048,0.05409241,1.844811E-05,10.25518,16.58859,33.72989,56.25523,107.9385
306350910097876992,0.138248,3.26098E-05,10.41284,16.81493,34.01649,56.59989,107.8256
306351184975783936,0.2024835,3.397956E-05,9.738215,16.2627,33.81044,56.23465,106.0473
306351459853690880,0.09494146,2.296607E-05,10.48157,16.68199,33.82936,56.29343,106.9421
306352009609504768,0.09662461,2.806396E-05,10.09405,16.40252,33.60527,56.47664,108.3275
306352284487411712,0.1122262,2.619279E-05,10.4507,16.76108,33.85466,56.48035,108.1759
306352559365318656,0.1123703,2.776126E-05,10.4222,16.79453,34.18409,57.05695,109.5793
306352834243225600,0.07146045,2.628857E-05,10.40436,16.71118,34.0125,56.80418,109.1623
306353109121132544,0.05654917,1.140623E-05,10.44896,16.88874,34.45758,57.2799,113.5817
306353383999039488,0.3060643,7.607527E-05,10.43824,16.59018,33.56776,55.94405,106.3714
306353658876946432,0.1115661,3.431558E-05,10.31132,16.68054,33.81309,56.18703,106.1699
306353933754853376,0.03361765,4.692984E-06,10.03691,16.34363,33.47641,56.27658,108.0185
306354208632760320,0.3741789,9.381126E-05,10.43578,16.60434,33.60957,56.05988,107.1943
