SpecObjID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
299591932026316800,0.06256682,1.672353E-05,19.83346,17.71003,16.67451,16.1601,15.74834
299592206434461696,0.08259339,3.183325E-05,20.12042,18.11361,17.10914,16.61419,16.21893
299592206904223744,0.1660953,3.326029E-05,22.31682,18.77158,17.87424,17.29587,17.1753
299592481312368640,0.1661347,6.294222E-05,22.31682,18.77158,17.87424,17.29587,17.1753
299592481782130688,0.06218995,2.025965E-05,20.22353,18.4828,17.59106,17.04563,16.73751
299592756190275584,0.06183128,1.485745E-05,18.843,16.86573,15.89055,15.43391,15.05702
299592756660037632,0.3745093,0.0002286598,23.2838,20.71079,18.722,18.08022,17.60807
299593031537944576,0.4573883,0.0001481538,24.13754,21.16545,19.34333,18.47936,17.96232
299593305946089472,0.7392149,4.369113,24.13754,21.16545,19.34333,18.47936,17.96232
299593580823996416,0.08399225,3.193655E-05,20.18423,18.04119,16.92056,16.39044,16.00448
299593581293758464,0.1353705,1.01143E-05,18.88446,17.602,16.85905,16.41411,16.11413
299593855701903360,0.1624241,5.151582E-05,21.30238,19.15419,17.92437,17.43583,17.02309
299594130579810304,0.04576435,7.728495E-06,19.13055,17.23829,16.29861,15.7806,15.39037
299594131049572352,0.4102879,0.0001344674,24.08823,21.02848,19.17832,18.41561,17.98516
299594405457717248,0.1459535,5.988825E-05,21.32714,19.23009,17.94738,17.39519,16.98909
299594405927479296,0.1461468,4.456603E-05,19.98573,18.09859,16.90534,16.35217,15.9432
299594680335624192,0.1523109,3.25776E-05,20.31785,18.89908,17.8659,17.31925,16.94901
299594680805386240,0.04570889,6.600415E-06,19.13055,17.23829,16.29861,15.7806,15.39037
299594955213531136,0.1461367,5.779561E-05,19.98573,18.09859,16.90534,16.35217,15.9432
299594955683293184,0.3582156,0.0001394132,22.40956,21.37397,19.37144,18.71814,18.30395
299595230561200128,0.1557892,2.414667E-05,20.5345,18.6174,17.51895,16.98889,16.65357
299595504969345024,0.3581575,0.0001264747,22.40956,21.37397,19.37144,18.71814,18.30395
299595505439107072,0.1522246,2.515229E-05,20.31785,18.89908,17.8659,17.31925,16.94901
299595779847251968,0.4104962,0.0003187754,24.08823,21.02848,19.17832,18.41561,17.98516
299595780317014016,0.006378901,8.128292E-06,null,null,null,null,null
299596055194920960,0.1459859,4.323565E-05,21.32714,19.23009,17.94738,17.39519,16.98909
299596329603065856,0.1558278,2.772856E-05,20.5345,18.6174,17.51895,16.98889,16.65357
299596604480972800,0.0904962,2.737075E-05,20.14585,18.44736,17.51792,17.07215,16.72435
299596879358879744,0.1229392,3.071043E-05,20.56387,18.49566,17.40881,16.94229,16.56083
299596879828641792,0.1230344,2.585208E-05,20.56387,18.49566,17.40881,16.94229,16.56083
299597154236786688,0.1225028,1.175114E-05,19.20778,17.90476,17.10696,16.62212,16.35332
299597154706548736,0.1225,1.090016E-05,19.20778,17.90476,17.10696,16.62212,16.35332
299597429114693632,0.1230946,3.028909E-05,20.79079,18.81327,17.74791,17.32116,16.95784
299597429584455680,0.09049731,2.148844E-05,20.14585,18.44736,17.51792,17.07215,16.72435
299597703992600576,0.00638492,7.912954E-06,null,null,null,null,null
299597978870507520,0.1204177,2.344712E-05,20.63733,18.85987,17.92804,17.46613,17.15108
299598529096083456,0.1532605,3.696143E-05,21.03152,18.92741,17.70177,17.15881,16.80883
299598803504228352,0.9917079,0.0001707303,null,null,null,null,null
299598803973990400,0.004287427,8.410716E-05,null,null,null,null,null
299599078382135296,0.1533363,4.335008E-05,21.03152,18.92741,17.70177,17.15881,16.80883
299599078851897344,0.120346,1.842252E-05,20.63733,18.85987,17.92804,17.46613,17.15108
299599353729804288,0.1230656,2.675386E-05,20.79079,18.81327,17.74791,17.32116,16.95784
299599628137949184,0.05157993,5.644207E-06,18.17073,17.51121,17.57442,17.28763,17.48761
299599628607711232,0.4403714,0.0002108027,24.83337,22.23153,19.6691,18.91289,18.40005
299599903015856128,0.1231886,2.295262E-05,19.83377,18.10239,17.13637,16.65895,16.30822
299599903485618176,0.1521185,2.697843E-05,20.15623,17.88821,16.61073,16.07867,15.64097
299600177893763072,0.1244643,4.320196E-05,20.45596,18.18429,16.95428,16.41567,15.9966
299600178363525120,0.03801033,7.362194E-06,18.71734,17.21716,16.41332,15.96558,15.62334
299600452771670016,0.1626759,7.694308E-05,21.92868,19.08348,17.77923,17.25726,16.82545
299600453241432064,0.1627002,4.702538E-05,21.92868,19.08348,17.77923,17.25726,16.82545
299600727649576960,0.1520063,3.904781E-05,20.15623,17.88821,16.61073,16.07867,15.64097
299601002527483904,0.4385464,0.0002440758,24.36649,21.25975,19.41464,18.55243,18.05124
299601002997245952,0.1540819,4.157036E-05,19.50282,17.68632,16.51815,16.00266,15.57009
299601277875152896,0.05158934,5.550995E-06,18.17073,17.51121,17.57442,17.28763,17.48761
299601552283297792,0.1633932,2.682004E-05,20.51304,18.76234,17.77717,17.25203,16.84844
299601552753059840,0.1241183,3.395118E-05,20.90758,18.77089,17.62204,17.12769,16.67231
299601827161204736,0.03638333,2.249565E-05,19.37793,17.43435,16.49164,16.02972,15.65496
299602102039111680,0.1239846,5.565008E-05,20.90758,18.77089,17.62204,17.12769,16.67231
299602102508873728,0.1633623,1.726089E-05,20.51304,18.76234,17.77717,17.25203,16.84844
299602376917018624,0.151483,4.252181E-05,20.48619,18.64898,17.48435,16.96614,16.60915
299602377386780672,0.1232092,1.659297E-05,19.83377,18.10239,17.13637,16.65895,16.30822
299602651794925568,0.03745268,6.037618E-06,18.79729,17.72996,17.19271,16.86223,16.63148
299602652264687616,0.03635695,1.570849E-05,19.37793,17.43435,16.49164,16.02972,15.65496
299602927142594560,0.0374546,6.020544E-06,18.79729,17.72996,17.19271,16.86223,16.63148
299603201550739456,0.1198637,2.468126E-05,19.85794,17.7375,16.62214,16.09491,15.72706
299603202020501504,0.4385915,0.0001348234,24.36649,21.25975,19.41464,18.55243,18.05124
299603476428646400,0.122491,4.99617E-05,20.24102,18.43798,17.42734,16.95652,16.64102
299603476898408448,0.1224141,3.763796E-05,20.24102,18.43798,17.42734,16.95652,16.64102
299603751306553344,0.03797853,7.465673E-06,18.71734,17.21716,16.41332,15.96558,15.62334
299603751776315392,0.124454,2.934006E-05,20.45596,18.18429,16.95428,16.41567,15.9966
299604026654222336,0.1198547,2.041525E-05,19.85794,17.7375,16.62214,16.09491,15.72706
299604301062367232,0.05328872,9.451189E-06,18.99387,17.63699,16.96374,16.56303,16.31416
299604301532129280,0.1515293,3.170106E-05,20.48619,18.64898,17.48435,16.96614,16.60915
299604575940274176,0.1539679,5.770831E-05,19.50282,17.68632,16.51815,16.00266,15.57009
299604850818181120,0.4404075,0.0002219118,24.83337,22.23153,19.6691,18.91289,18.40005
299604851287943168,0.05329375,9.387141E-06,18.99387,17.63699,16.96374,16.56303,16.31416
299605125696088064,0.1205831,3.916186E-05,21.11125,19.00415,17.88824,17.42086,17.02119
299605126165850112,0.1645139,4.590164E-05,22.02046,19.25063,17.89767,17.316,16.8499
299605400573995008,0.02662709,1.71262E-05,18.77879,16.94481,16.03168,15.56462,15.21462
299605401043757056,0.02660205,1.576805E-05,18.77879,16.94481,16.03168,15.56462,15.21462
299605675451901952,0.1561304,3.225021E-05,20.07037,18.93862,18.13461,17.71938,17.53513
299605675921664000,0.2033103,0.0001186779,null,null,null,null,null
299605950329808896,0.4668407,0.0001230558,21.81778,20.9671,19.18583,18.38691,17.91412
299605950799570944,0.1671185,4.897651E-05,21.23995,19.32144,17.9854,17.44445,17.02965
